Model,features,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Decision Tree,features1,0.6617283950617284,0.6172839506172839,0.6765432098765433,0.6419753086419753,0.6123456790123457,0.6123456790123457,0.6765432098765433,0.6691358024691358,0.6617283950617284
,features2,0.6666666666666666,0.6765432098765433,0.7086419753086419,0.6987654320987654,0.6592592592592592,0.6641975308641975,0.671604938271605,0.6839506172839506,0.6617283950617284
,features3,0.6864197530864198,0.6790123456790124,0.7234567901234568,0.6765432098765433,0.6790123456790124,0.6864197530864198,0.6938271604938272,0.6962962962962963,0.671604938271605
,features4,0.7135802469135802,0.671604938271605,0.6888888888888889,0.6888888888888889,0.674074074074074,0.674074074074074,0.7185185185185186,0.7160493827160493,0.7111111111111111
Support Vector Machine (SVM),features1,0.7753086419753087,0.7753086419753087,0.7604938271604939,0.7901234567901234,0.7753086419753087,0.762962962962963,0.745679012345679,0.7234567901234568,0.7975308641975308
,features2,0.817283950617284,0.8148148148148148,0.8074074074074075,0.817283950617284,0.817283950617284,0.8148148148148148,0.8197530864197531,0.7876543209876543,0.8024691358024691
,features3,0.8271604938271605,0.8148148148148148,0.8,0.8049382716049382,0.8123456790123457,0.8148148148148148,0.8246913580246914,0.7654320987654321,0.8074074074074075
,features4,0.7975308641975308,0.7950617283950617,0.8123456790123457,0.817283950617284,0.7950617283950617,0.7950617283950617,0.8246913580246914,0.7925925925925926,0.8074074074074075
ANN,features1,0.7654320987654321,0.7308641975308642,0.7382716049382716,0.7753086419753087,0.7530864197530864,0.725925925925926,0.7555555555555555,0.7061728395061728,0.7876543209876543
,features2,0.7925925925925926,0.7753086419753087,0.7925925925925926,0.782716049382716,0.7901234567901234,0.7728395061728395,0.8296296296296296,0.7802469135802469,0.7925925925925926
,features3,0.817283950617284,0.8123456790123457,0.7851851851851852,0.7925925925925926,0.7728395061728395,0.7950617283950617,0.7975308641975308,0.7753086419753087,0.8098765432098766
,features4,0.8049382716049382,0.7580246913580246,0.8049382716049382,0.8197530864197531,0.8049382716049382,0.7876543209876543,0.8395061728395061,0.7679012345679013,0.8222222222222222
CNN,features1,0.745679012345679,0.7580246913580246,0.7209876543209877,0.7777777777777778,0.7802469135802469,0.7382716049382716,0.7654320987654321,0.7209876543209877,0.7876543209876543
,features2,0.7753086419753087,0.7580246913580246,0.7925925925925926,0.782716049382716,0.7950617283950617,0.7654320987654321,0.8296296296296296,0.7679012345679013,0.8222222222222222
,features3,0.8148148148148148,0.8,0.8074074074074075,0.8,0.7901234567901234,0.8098765432098766,0.8296296296296296,0.7802469135802469,0.7950617283950617
,features4,0.7753086419753087,0.7777777777777778,0.8148148148148148,0.8148148148148148,0.7851851851851852,0.7950617283950617,0.8395061728395061,0.7851851851851852,0.8345679012345679
