Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Gradient Boosting,0.7975308641975308,0.8020613694206599,0.7975308641975308,0.7965404014797809,fscs,Bayes
Random Forest,0.7876543209876543,0.7919796259623121,0.7876543209876543,0.7871566821252356,fscs,Bayes
Decision Tree,0.7728395061728395,0.773382351581754,0.7728395061728395,0.7720315992714339,fscs,Bayes
KNN,0.7654320987654321,0.7714720050002701,0.7654320987654321,0.7650111004555679,fscs,Bayes
Logistic Regression,0.8296296296296296,0.8327225666174368,0.8296296296296296,0.8297242618681727,vt,Grid
SVM,0.8074074074074075,0.814159867310471,0.8074074074074075,0.806402465389141,vt,Grid
Random Forest,0.7975308641975308,0.8035849562762433,0.7975308641975308,0.7984616882006077,vt,Grid
Gradient Boosting,0.782716049382716,0.7872799073936602,0.782716049382716,0.7840831454244922,vt,Grid
KNN,0.7703703703703704,0.7742418890976811,0.7703703703703704,0.76886813246251,vt,Grid
Decision Tree,0.7209876543209877,0.7253955004017402,0.7209876543209877,0.7214005992053278,vt,Grid
Logistic Regression,0.8296296296296296,0.8293495024630776,0.8296296296296296,0.8289615791939862,etc,Grid
SVM,0.8049382716049382,0.8047506882482344,0.8049382716049382,0.803427637399597,etc,Grid
Gradient Boosting,0.7851851851851852,0.7841230151996434,0.7851851851851852,0.7842987960978192,etc,Grid
Random Forest,0.7851851851851852,0.7861428452002545,0.7851851851851852,0.7846345722124736,etc,Grid
KNN,0.762962962962963,0.7610500498255893,0.762962962962963,0.75761769290157,etc,Grid
Decision Tree,0.6839506172839506,0.6838221528491866,0.6839506172839506,0.6815795506187611,etc,Grid
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Grid
SVM,0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,skb,Grid
Gradient Boosting,0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,skb,Grid
Random Forest,0.7728395061728395,0.7769790193198434,0.7728395061728395,0.7721287885475714,skb,Grid
KNN,0.7654320987654321,0.768839463121168,0.7654320987654321,0.7647560460167754,skb,Grid
Decision Tree,0.6617283950617284,0.6630292652473595,0.6617283950617284,0.6570183350658307,skb,Grid
Logistic Regression,0.8246913580246914,0.8263269284321917,0.8246913580246914,0.8251504829125264,rfe,Grid
SVM,0.8271604938271605,0.8285186674064013,0.8271604938271605,0.8271910528461249,rfe,Grid
Gradient Boosting,0.7925925925925926,0.794462390180689,0.7925925925925926,0.7926467336723944,rfe,Grid
Random Forest,0.7851851851851852,0.7854474118668802,0.7851851851851852,0.7847744419648562,rfe,Grid
KNN,0.7802469135802469,0.7829292564824538,0.7802469135802469,0.7803636194556343,rfe,Grid
Decision Tree,0.7333333333333333,0.7335437965268166,0.7333333333333333,0.7330037580868779,rfe,Grid
Logistic Regression,0.8246913580246914,0.8256812629930171,0.8246913580246914,0.8244913656809834,pc,Grid
SVM,0.8123456790123457,0.8134844734088476,0.8123456790123457,0.812268686268781,pc,Grid
Gradient Boosting,0.7901234567901234,0.7916319024123902,0.7901234567901234,0.7896383795221804,pc,Grid
Random Forest,0.782716049382716,0.7860517911736074,0.782716049382716,0.7831224418686976,pc,Grid
KNN,0.7530864197530864,0.7563675776007713,0.7530864197530864,0.7509206753379514,pc,Grid
Decision Tree,0.6617283950617284,0.6642203654126001,0.6617283950617284,0.657422952771287,pc,Grid
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,mi,Grid
SVM,0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,mi,Grid
Random Forest,0.8049382716049382,0.8079073600613867,0.8049382716049382,0.8049258616710121,mi,Grid
Gradient Boosting,0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,mi,Grid
KNN,0.7679012345679013,0.7711708034379446,0.7679012345679013,0.7673247708687603,mi,Grid
Decision Tree,0.6617283950617284,0.6642203654126001,0.6617283950617284,0.657422952771287,mi,Grid
Logistic Regression,0.8567901234567902,0.8579573623843115,0.8567901234567902,0.8563993232123996,mir,Grid
SVM,0.8246913580246914,0.8280930325733192,0.8246913580246914,0.82490949557008,mir,Grid
Gradient Boosting,0.8074074074074075,0.8071965356787434,0.8074074074074075,0.8072192334542073,mir,Grid
Random Forest,0.8049382716049382,0.8052573407368797,0.8049382716049382,0.8048787794944016,mir,Grid
KNN,0.7802469135802469,0.7836272257520275,0.7802469135802469,0.7779553071808196,mir,Grid
Decision Tree,0.6888888888888889,0.7026333062618572,0.6888888888888889,0.6910780985651617,mir,Grid
Logistic Regression,0.7975308641975308,0.7989527375758513,0.7975308641975308,0.7968103149570304,mu,Grid
Gradient Boosting,0.7703703703703704,0.7733386955476609,0.7703703703703704,0.7711378337030637,mu,Grid
Random Forest,0.7901234567901234,0.7955908599424033,0.7901234567901234,0.7917054256232755,mu,Grid
SVM,0.7654320987654321,0.7664943769680611,0.7654320987654321,0.7646369172063945,mu,Grid
KNN,0.725925925925926,0.7338732861815394,0.725925925925926,0.7261941909703584,mu,Grid
Decision Tree,0.7037037037037037,0.707141802402237,0.7037037037037037,0.7048910424717499,mu,Grid
Logistic Regression,0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Grid
SVM,0.8,0.8023881561584992,0.8,0.7993949919787962,fscs,Grid
Gradient Boosting,0.7876543209876543,0.7912946790380925,0.7876543209876543,0.7859002979595634,fscs,Grid
Random Forest,0.7753086419753087,0.779227851901406,0.7753086419753087,0.7743982301603045,fscs,Grid
KNN,0.7679012345679013,0.7760397880711475,0.7679012345679013,0.7675053072651045,fscs,Grid
Decision Tree,0.7012345679012346,0.7257542603661743,0.7012345679012346,0.70678965403314,fscs,Grid
Logistic Regression,0.8271604938271605,0.8306976943703425,0.8271604938271605,0.8272875658604565,vt,Randomized
SVM,0.8,0.8038937656993214,0.8,0.7990330703119287,vt,Randomized
Random Forest,0.8,0.8063918451982263,0.8,0.8005622220545829,vt,Randomized
Gradient Boosting,0.7975308641975308,0.8007293630066249,0.7975308641975308,0.797771879839559,vt,Randomized
KNN,0.7802469135802469,0.784002336103817,0.7802469135802469,0.7763821763765151,vt,Randomized
Decision Tree,0.7333333333333333,0.7395937597643799,0.7333333333333333,0.7352139080933621,vt,Randomized
Logistic Regression,0.8271604938271605,0.8267977862920391,0.8271604938271605,0.8262958787589604,etc,Randomized
Gradient Boosting,0.8123456790123457,0.8140602713765712,0.8123456790123457,0.8114860722782049,etc,Randomized
Random Forest,0.8024691358024691,0.8046248563024162,0.8024691358024691,0.8018346758763982,etc,Randomized
SVM,0.7975308641975308,0.7971920280671647,0.7975308641975308,0.7966645293561848,etc,Randomized
KNN,0.7703703703703704,0.7747477490266724,0.7703703703703704,0.767817195185354,etc,Randomized
Decision Tree,0.7037037037037037,0.7057318696942863,0.7037037037037037,0.7012877216477412,etc,Randomized
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Randomized
SVM,0.8024691358024691,0.8092245217977183,0.8024691358024691,0.8041892097703508,skb,Randomized
Gradient Boosting,0.7876543209876543,0.7930727055043532,0.7876543209876543,0.7867462807203986,skb,Randomized
KNN,0.7802469135802469,0.7857855448471581,0.7802469135802469,0.7751675082444196,skb,Randomized
Random Forest,0.7753086419753087,0.7815442495372515,0.7753086419753087,0.7744798691538793,skb,Randomized
Decision Tree,0.6839506172839506,0.6840380334329729,0.6839506172839506,0.6836015907434737,skb,Randomized
Logistic Regression,0.8246913580246914,0.8260600130950336,0.8246913580246914,0.82504274260046,rfe,Randomized
SVM,0.7975308641975308,0.7982523774942076,0.7975308641975308,0.7973495156317001,rfe,Randomized
Random Forest,0.7975308641975308,0.8000723024347978,0.7975308641975308,0.7979122326259211,rfe,Randomized
Gradient Boosting,0.7728395061728395,0.7761949401365853,0.7728395061728395,0.7728227473160402,rfe,Randomized
KNN,0.7654320987654321,0.7734262847823248,0.7654320987654321,0.7620476422795492,rfe,Randomized
Decision Tree,0.7432098765432099,0.7418920505940791,0.7432098765432099,0.7420219286885954,rfe,Randomized
Logistic Regression,0.817283950617284,0.8182683981775183,0.817283950617284,0.8171113466781614,pc,Randomized
SVM,0.8148148148148148,0.8191132262193506,0.8148148148148148,0.8158889344276651,pc,Randomized
Random Forest,0.7925925925925926,0.797806217003205,0.7925925925925926,0.792577942784462,pc,Randomized
Gradient Boosting,0.7876543209876543,0.793730644284974,0.7876543209876543,0.7866819185586692,pc,Randomized
KNN,0.782716049382716,0.7915430023880877,0.782716049382716,0.7791558164957709,pc,Randomized
Decision Tree,0.6839506172839506,0.6816534313442117,0.6839506172839506,0.6822300104547587,pc,Randomized
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,mi,Randomized
SVM,0.8024691358024691,0.8092245217977183,0.8024691358024691,0.8041892097703508,mi,Randomized
Random Forest,0.7925925925925926,0.7970136948088238,0.7925925925925926,0.7923765880489043,mi,Randomized
Gradient Boosting,0.7876543209876543,0.7922073359153549,0.7876543209876543,0.7866001395262127,mi,Randomized
KNN,0.7802469135802469,0.7857855448471581,0.7802469135802469,0.7751675082444196,mi,Randomized
Decision Tree,0.7061728395061728,0.7046382301517689,0.7061728395061728,0.7048880868100172,mi,Randomized
Logistic Regression,0.854320987654321,0.8550990731303747,0.854320987654321,0.8538856956880082,mir,Randomized
Random Forest,0.8049382716049382,0.8066638140110189,0.8049382716049382,0.8055639640144535,mir,Randomized
Gradient Boosting,0.8049382716049382,0.8056913453025877,0.8049382716049382,0.8051871700527309,mir,Randomized
SVM,0.7975308641975308,0.7982996915131991,0.7975308641975308,0.797176094112079,mir,Randomized
KNN,0.7876543209876543,0.7913070219788177,0.7876543209876543,0.785426612416821,mir,Randomized
Decision Tree,0.7333333333333333,0.73701915487857,0.7333333333333333,0.7342154788239782,mir,Randomized
Logistic Regression,0.7975308641975308,0.7987759926727172,0.7975308641975308,0.796635465303291,mu,Randomized
Gradient Boosting,0.7753086419753087,0.7762816008038992,0.7753086419753087,0.7748341662338477,mu,Randomized
Random Forest,0.7753086419753087,0.7827782703589976,0.7753086419753087,0.7771589982537098,mu,Randomized
SVM,0.7555555555555555,0.7544687874977476,0.7555555555555555,0.754557448770084,mu,Randomized
Decision Tree,0.7234567901234568,0.7263604591533648,0.7234567901234568,0.724331538212575,mu,Randomized
KNN,0.7160493827160493,0.726991186285962,0.7160493827160493,0.7150257352940921,mu,Randomized
Logistic Regression,0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Randomized
Random Forest,0.8,0.8055832331840197,0.8,0.7990727363804724,fscs,Randomized
Gradient Boosting,0.7876543209876543,0.792141204220242,0.7876543209876543,0.7863031841259883,fscs,Randomized
SVM,0.7777777777777778,0.7799152112693264,0.7777777777777778,0.7769338982145009,fscs,Randomized
KNN,0.7654320987654321,0.7714720050002701,0.7654320987654321,0.7650111004555679,fscs,Randomized
Decision Tree,0.7506172839506173,0.7555151620239011,0.7506172839506173,0.7515909616063425,fscs,Randomized
