Model,Accuracy,Precision,Recall,F1,Method,Optimizer
KNN,0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,mi,Bayes
Decision Tree,0.6987654320987654,0.6984725156399261,0.6987654320987654,0.6975132202670312,mi,Bayes
Logistic Regression,0.8444444444444444,0.8473280919905855,0.8444444444444444,0.8446967213181774,mir,Bayes
SVM,0.8271604938271605,0.8312214967739381,0.8271604938271605,0.8279615273253312,mir,Bayes
Random Forest,0.8246913580246914,0.8252022670429604,0.8246913580246914,0.8246312637276695,mir,Bayes
Gradient Boosting,0.8049382716049382,0.8057397210950358,0.8049382716049382,0.8045123286357617,mir,Bayes
KNN,0.7851851851851852,0.78694233271452,0.7851851851851852,0.7831335330641975,mir,Bayes
Decision Tree,0.7333333333333333,0.7371189999034911,0.7333333333333333,0.7349168507053812,mir,Bayes
Logistic Regression,0.7925925925925926,0.7946889804976945,0.7925925925925926,0.792786493837252,mu,Bayes
Gradient Boosting,0.8024691358024691,0.8053795164035032,0.8024691358024691,0.8030482379496504,mu,Bayes
SVM,0.7901234567901234,0.7944330941467254,0.7901234567901234,0.7912323908223319,mu,Bayes
Random Forest,0.7802469135802469,0.7862870691968641,0.7802469135802469,0.7813602166370831,mu,Bayes
Decision Tree,0.7185185185185186,0.7157821176113859,0.7185185185185186,0.7165493243054385,mu,Bayes
KNN,0.7185185185185186,0.7151646977421345,0.7185185185185186,0.7146612894749471,mu,Bayes
Logistic Regression,0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,fscs,Bayes
SVM,0.8123456790123457,0.8145821251653247,0.8123456790123457,0.8122126285327993,fscs,Bayes
Random Forest,0.8,0.8028421806776758,0.8,0.7978711306140278,fscs,Bayes
Gradient Boosting,0.7901234567901234,0.7949538562953197,0.7901234567901234,0.7893131638714531,fscs,Bayes
Decision Tree,0.762962962962963,0.764331789333192,0.762962962962963,0.761988527776188,fscs,Bayes
KNN,0.7481481481481481,0.7533512047258847,0.7481481481481481,0.7476250454716826,fscs,Bayes
Logistic Regression,0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Grid
SVM,0.8074074074074075,0.8106948887637588,0.8074074074074075,0.8069908632231226,vt,Grid
Random Forest,0.8049382716049382,0.8079888423096585,0.8049382716049382,0.8054961521564947,vt,Grid
Gradient Boosting,0.7851851851851852,0.7875410243844486,0.7851851851851852,0.7853870648803644,vt,Grid
KNN,0.7703703703703704,0.7753511005361489,0.7703703703703704,0.7698363206355409,vt,Grid
Decision Tree,0.7086419753086419,0.7179547103848318,0.7086419753086419,0.7090380933518188,vt,Grid
Logistic Regression,0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Grid
SVM,0.817283950617284,0.8168259971494506,0.817283950617284,0.8162557171619267,etc,Grid
Random Forest,0.782716049382716,0.7848687269026551,0.782716049382716,0.7831350532548509,etc,Grid
Gradient Boosting,0.7802469135802469,0.7821259774406484,0.7802469135802469,0.780741083081455,etc,Grid
KNN,0.762962962962963,0.7623881402672097,0.762962962962963,0.7607806230179112,etc,Grid
Decision Tree,0.7358024691358025,0.7377915817492338,0.7358024691358025,0.7365920687105927,etc,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,skb,Grid
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,skb,Grid
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,skb,Grid
Random Forest,0.7802469135802469,0.7804234757599985,0.7802469135802469,0.7789244233978575,skb,Grid
KNN,0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,skb,Grid
Decision Tree,0.7012345679012346,0.7016508921031152,0.7012345679012346,0.6999486212736731,skb,Grid
Logistic Regression,0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Grid
SVM,0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581,rfe,Grid
Random Forest,0.782716049382716,0.7834598374172601,0.782716049382716,0.7827203727227089,rfe,Grid
Gradient Boosting,0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655,rfe,Grid
KNN,0.7481481481481481,0.7471471550986013,0.7481481481481481,0.7459366374992886,rfe,Grid
Decision Tree,0.7407407407407407,0.7377593513525548,0.7407407407407407,0.7384639467882896,rfe,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,pc,Grid
Gradient Boosting,0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,pc,Grid
SVM,0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,pc,Grid
Random Forest,0.7777777777777778,0.7778212808209966,0.7777777777777778,0.7769182565441901,pc,Grid
KNN,0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,pc,Grid
Decision Tree,0.7037037037037037,0.70539542755631,0.7037037037037037,0.7029003934278131,pc,Grid
Logistic Regression,0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,mi,Grid
