Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Bayes
SVM,0.8049382716049382,0.8058055019452869,0.8049382716049382,0.8051622065355241,pc,Bayes
Gradient Boosting,0.7876543209876543,0.7901745853597706,0.7876543209876543,0.7866231447446282,pc,Bayes
Random Forest,0.7851851851851852,0.7899951026547846,0.7851851851851852,0.7841005029594192,pc,Bayes
KNN,0.7111111111111111,0.7224072470739137,0.7111111111111111,0.7054622286441792,pc,Bayes
Decision Tree,0.6765432098765433,0.6790224058197915,0.6765432098765433,0.6771464042458308,pc,Bayes
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,mi,Bayes
SVM,0.8098765432098766,0.8117448722030906,0.8098765432098766,0.8101731813064478,mi,Bayes
Random Forest,0.7950617283950617,0.7975552775885314,0.7950617283950617,0.7952931627776432,mi,Bayes
Gradient Boosting,0.7753086419753087,0.7789883891439829,0.7753086419753087,0.7742500349046428,mi,Bayes
KNN,0.7308641975308642,0.7457588706223044,0.7308641975308642,0.7214390384240935,mi,Bayes
Decision Tree,0.6617283950617284,0.6597828894607538,0.6617283950617284,0.6593474779189064,mi,Bayes
Logistic Regression,0.8419753086419753,0.8442444497543733,0.8419753086419753,0.842294202534971,mir,Bayes
Gradient Boosting,0.7975308641975308,0.8007359927807046,0.7975308641975308,0.7975101752252831,mir,Bayes
SVM,0.817283950617284,0.8201267218087817,0.817283950617284,0.8173172275986869,mir,Bayes
Random Forest,0.7728395061728395,0.7732236525373745,0.7728395061728395,0.772618578516812,mir,Bayes
Decision Tree,0.7160493827160493,0.7187171161468239,0.7160493827160493,0.7161882322201857,mir,Bayes
KNN,0.6987654320987654,0.7037545946257089,0.6987654320987654,0.6962046864086092,mir,Bayes
Logistic Regression,0.8049382716049382,0.8062732694483871,0.8049382716049382,0.8047177580609789,mu,Bayes
Gradient Boosting,0.7925925925925926,0.7917382570084598,0.7925925925925926,0.7898195904669767,mu,Bayes
SVM,0.7901234567901234,0.7922762577850639,0.7901234567901234,0.7898629581914005,mu,Bayes
Random Forest,0.7802469135802469,0.7871932042793288,0.7802469135802469,0.7818422854866688,mu,Bayes
Decision Tree,0.7283950617283951,0.7311992468966814,0.7283950617283951,0.7268575431639887,mu,Bayes
KNN,0.691358024691358,0.7036897699596112,0.691358024691358,0.6854936537834875,mu,Bayes
Logistic Regression,0.8123456790123457,0.8154920725566921,0.8123456790123457,0.8122807720496235,fscs,Bayes
SVM,0.8098765432098766,0.8144466032956674,0.8098765432098766,0.8105381261422553,fscs,Bayes
Random Forest,0.7925925925925926,0.7980816666728314,0.7925925925925926,0.7924792394759173,fscs,Bayes
Gradient Boosting,0.7851851851851852,0.788567211174095,0.7851851851851852,0.7842117237177626,fscs,Bayes
Decision Tree,0.7481481481481481,0.7483170846913537,0.7481481481481481,0.7450101064711735,fscs,Bayes
KNN,0.7185185185185186,0.7300181890795585,0.7185185185185186,0.7149767412203107,fscs,Bayes
Logistic Regression,0.8271604938271605,0.8311948509594571,0.8271604938271605,0.827344083091447,vt,Grid
SVM,0.8024691358024691,0.8057832392770389,0.8024691358024691,0.8024605448632344,vt,Grid
Random Forest,0.7950617283950617,0.7993778627460326,0.7950617283950617,0.7936358424565748,vt,Grid
Gradient Boosting,0.7802469135802469,0.7830476653977146,0.7802469135802469,0.7809325985143423,vt,Grid
KNN,0.7382716049382716,0.7485130991013343,0.7382716049382716,0.7359767037556959,vt,Grid
Decision Tree,0.7209876543209877,0.727261960412594,0.7209876543209877,0.720410696533628,vt,Grid
Logistic Regression,0.837037037037037,0.8362229075855199,0.837037037037037,0.8352659253549224,etc,Grid
SVM,0.817283950617284,0.8172547855549477,0.817283950617284,0.8169387445988223,etc,Grid
Random Forest,0.7950617283950617,0.7962616685473937,0.7950617283950617,0.795313275647799,etc,Grid
Gradient Boosting,0.782716049382716,0.7839205050102555,0.782716049382716,0.7832169762723116,etc,Grid
KNN,0.7432098765432099,0.7462776989827461,0.7432098765432099,0.7410388039475664,etc,Grid
Decision Tree,0.6790123456790124,0.7071910471412596,0.6790123456790124,0.6852876143124884,etc,Grid
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,skb,Grid
SVM,0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,skb,Grid
Random Forest,0.7802469135802469,0.7815733768072787,0.7802469135802469,0.7802436859517469,skb,Grid
Gradient Boosting,0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,skb,Grid
KNN,0.7160493827160493,0.722955934843426,0.7160493827160493,0.7079657764210064,skb,Grid
Decision Tree,0.6888888888888889,0.6895790853699351,0.6888888888888889,0.6863078602657031,skb,Grid
Logistic Regression,0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Grid
SVM,0.817283950617284,0.8195839215259859,0.817283950617284,0.8177860850931761,rfe,Grid
Gradient Boosting,0.7876543209876543,0.7909305207028181,0.7876543209876543,0.787383807669805,rfe,Grid
Random Forest,0.7851851851851852,0.7885782397739673,0.7851851851851852,0.7862486863849106,rfe,Grid
Decision Tree,0.7333333333333333,0.731089812158458,0.7333333333333333,0.7318327094457656,rfe,Grid
KNN,0.7160493827160493,0.7186417274978886,0.7160493827160493,0.7144413547528257,rfe,Grid
Logistic Regression,0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Grid
SVM,0.817283950617284,0.8176841209025116,0.817283950617284,0.8169950547057787,pc,Grid
Random Forest,0.7753086419753087,0.777914996025691,0.7753086419753087,0.7748342615075514,pc,Grid
Gradient Boosting,0.762962962962963,0.7635781053777012,0.762962962962963,0.7618177479073187,pc,Grid
KNN,0.7111111111111111,0.7224072470739137,0.7111111111111111,0.7054622286441792,pc,Grid
Decision Tree,0.6814814814814815,0.6811695955233293,0.6814814814814815,0.6780920576191006,pc,Grid
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,mi,Grid
SVM,0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,mi,Grid
Random Forest,0.782716049382716,0.7853239771702993,0.782716049382716,0.7831104052001333,mi,Grid
Gradient Boosting,0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,mi,Grid
KNN,0.7160493827160493,0.722955934843426,0.7160493827160493,0.7079657764210064,mi,Grid
Decision Tree,0.6888888888888889,0.6895450853484189,0.6888888888888889,0.6852311288746817,mi,Grid
Logistic Regression,0.8419753086419753,0.8442444497543733,0.8419753086419753,0.842294202534971,mir,Grid
SVM,0.8197530864197531,0.8224548240643956,0.8197530864197531,0.8198367677898121,mir,Grid
Random Forest,0.782716049382716,0.7828327313820019,0.782716049382716,0.7823083928094822,mir,Grid
Gradient Boosting,0.7654320987654321,0.7654989941342143,0.7654320987654321,0.765051341810689,mir,Grid
KNN,0.7283950617283951,0.740028764401101,0.7283950617283951,0.723436558095614,mir,Grid
Decision Tree,0.691358024691358,0.7076408874098891,0.691358024691358,0.6939523536648411,mir,Grid
Logistic Regression,0.8049382716049382,0.8061685900982564,0.8049382716049382,0.804893649820939,mu,Grid
SVM,0.7876543209876543,0.7901874509673049,0.7876543209876543,0.7873587743563326,mu,Grid
Random Forest,0.7851851851851852,0.7919228572520625,0.7851851851851852,0.7868500223473203,mu,Grid
Gradient Boosting,0.782716049382716,0.7826435455229075,0.782716049382716,0.7821413992834425,mu,Grid
KNN,0.6864197530864198,0.6929887544837222,0.6864197530864198,0.6831447344864474,mu,Grid
Decision Tree,0.6666666666666666,0.6751893472773309,0.6666666666666666,0.6647032204155937,mu,Grid
Logistic Regression,0.8123456790123457,0.8155548478409701,0.8123456790123457,0.8120920092624855,fscs,Grid
SVM,0.8074074074074075,0.81208438370086,0.8074074074074075,0.8081479262977438,fscs,Grid
Random Forest,0.7925925925925926,0.7999524412609298,0.7925925925925926,0.7924190840764619,fscs,Grid
Gradient Boosting,0.7679012345679013,0.7713427754195777,0.7679012345679013,0.7671840699094368,fscs,Grid
Decision Tree,0.7382716049382716,0.7427508966189749,0.7382716049382716,0.7360710670113874,fscs,Grid
KNN,0.7185185185185186,0.7300181890795585,0.7185185185185186,0.7149767412203107,fscs,Grid
Logistic Regression,0.8320987654320988,0.8356545007530123,0.8320987654320988,0.8324635326963289,vt,Randomized
Gradient Boosting,0.7975308641975308,0.7994793017032338,0.7975308641975308,0.7977543650318901,vt,Randomized
SVM,0.8024691358024691,0.8049224168659577,0.8024691358024691,0.8021895613165065,vt,Randomized
Random Forest,0.7925925925925926,0.8007686269175078,0.7925925925925926,0.7932879632066187,vt,Randomized
KNN,0.745679012345679,0.7642718758256991,0.745679012345679,0.7376564825687631,vt,Randomized
Decision Tree,0.7086419753086419,0.7136379736006846,0.7086419753086419,0.7087196276930552,vt,Randomized
Logistic Regression,0.8345679012345679,0.8338225820613046,0.8345679012345679,0.832789288263131,etc,Randomized
SVM,0.8098765432098766,0.8096025076391195,0.8098765432098766,0.809554734717158,etc,Randomized
Random Forest,0.7925925925925926,0.7950284185728083,0.7925925925925926,0.7929921095517803,etc,Randomized
Gradient Boosting,0.7679012345679013,0.7716404825898794,0.7679012345679013,0.7684684170409531,etc,Randomized
KNN,0.745679012345679,0.7514664874702593,0.745679012345679,0.7407040729045086,etc,Randomized
Decision Tree,0.7086419753086419,0.7109606770929231,0.7086419753086419,0.7087054683308693,etc,Randomized
Logistic Regression,0.8123456790123457,0.8139160148728836,0.8123456790123457,0.8126308413592551,skb,Randomized
SVM,0.7851851851851852,0.7858009154632672,0.7851851851851852,0.785062905090419,skb,Randomized
Gradient Boosting,0.7851851851851852,0.7870476132698355,0.7851851851851852,0.7846167248446817,skb,Randomized
Random Forest,0.7654320987654321,0.770494787714889,0.7654320987654321,0.7640471052811961,skb,Randomized
KNN,0.7308641975308642,0.7440800708611167,0.7308641975308642,0.7246709841521097,skb,Randomized
Decision Tree,0.671604938271605,0.6731997810347484,0.671604938271605,0.6718871276111297,skb,Randomized
Logistic Regression,0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Randomized
SVM,0.8098765432098766,0.8112634904078471,0.8098765432098766,0.8099359290159426,rfe,Randomized
Gradient Boosting,0.7975308641975308,0.8017900900561836,0.7975308641975308,0.7975986584685305,rfe,Randomized
Random Forest,0.7851851851851852,0.7876820556795587,0.7851851851851852,0.7858589489941338,rfe,Randomized
Decision Tree,0.7432098765432099,0.7427678868051715,0.7432098765432099,0.7425473696030089,rfe,Randomized
KNN,0.7333333333333333,0.7387709214910984,0.7333333333333333,0.7290127447289949,rfe,Randomized
Logistic Regression,0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Randomized
SVM,0.8049382716049382,0.8052506042181351,0.8049382716049382,0.8049225162003452,pc,Randomized
Gradient Boosting,0.8024691358024691,0.8041667333773678,0.8024691358024691,0.8021147543837346,pc,Randomized
Random Forest,0.7679012345679013,0.7734790150536774,0.7679012345679013,0.7666031319148021,pc,Randomized
KNN,0.7012345679012346,0.7139559090432231,0.7012345679012346,0.6888591579905635,pc,Randomized
Decision Tree,0.6691358024691358,0.6686252847988486,0.6691358024691358,0.6680273166685737,pc,Randomized
Logistic Regression,0.8123456790123457,0.8139160148728836,0.8123456790123457,0.8126308413592551,mi,Randomized
SVM,0.7851851851851852,0.7858009154632672,0.7851851851851852,0.785062905090419,mi,Randomized
Gradient Boosting,0.7851851851851852,0.7870476132698355,0.7851851851851852,0.7846167248446817,mi,Randomized
Random Forest,0.7802469135802469,0.7840188452820827,0.7802469135802469,0.779215841502458,mi,Randomized
KNN,0.7283950617283951,0.7417090064414169,0.7283950617283951,0.7216068324619971,mi,Randomized
Decision Tree,0.6839506172839506,0.6831668750691152,0.6839506172839506,0.6827249737986878,mi,Randomized
Logistic Regression,0.8469135802469135,0.8496186157431163,0.8469135802469135,0.8474364893080755,mir,Randomized
Random Forest,0.8123456790123457,0.8134821075392555,0.8123456790123457,0.8118646541107033,mir,Randomized
SVM,0.8049382716049382,0.8061858814220147,0.8049382716049382,0.8049804111157927,mir,Randomized
Gradient Boosting,0.7950617283950617,0.7964616237802608,0.7950617283950617,0.795379308632873,mir,Randomized
KNN,0.7382716049382716,0.7526430927020026,0.7382716049382716,0.7322180637164775,mir,Randomized
Decision Tree,0.7160493827160493,0.7251001220367868,0.7160493827160493,0.7191262397991985,mir,Randomized
Logistic Regression,0.8049382716049382,0.8062732694483871,0.8049382716049382,0.8047177580609789,mu,Randomized
Gradient Boosting,0.7925925925925926,0.794040041290558,0.7925925925925926,0.7915280057416761,mu,Randomized
Random Forest,0.7851851851851852,0.7919901394757576,0.7851851851851852,0.7870275054004151,mu,Randomized
SVM,0.7753086419753087,0.7775679860416249,0.7753086419753087,0.7757062991649702,mu,Randomized
Decision Tree,0.7037037037037037,0.7134298706254367,0.7037037037037037,0.7046626921490967,mu,Randomized
KNN,0.6814814814814815,0.6956838605596777,0.6814814814814815,0.6745561369163335,mu,Randomized
Logistic Regression,0.8123456790123457,0.8154920725566921,0.8123456790123457,0.8122807720496235,fscs,Randomized
SVM,0.8074074074074075,0.8118006361983252,0.8074074074074075,0.8075915406218758,fscs,Randomized
Random Forest,0.7876543209876543,0.7957695739697481,0.7876543209876543,0.788027600862123,fscs,Randomized
Gradient Boosting,0.7703703703703704,0.7755843811430994,0.7703703703703704,0.7709914741947944,fscs,Randomized
Decision Tree,0.7654320987654321,0.7674260542154135,0.7654320987654321,0.7646295158153993,fscs,Randomized
KNN,0.7333333333333333,0.7426338056871029,0.7333333333333333,0.7299951273908017,fscs,Randomized
