Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,OptFolder,SourceFile
0.782716049382716,0.783310470964792,0.782716049382716,0.7810032088282496,mi,Logistic Regression,Randomized,1.8756027221679688,omi,randomized_search_results.csv
0.7308641975308642,0.7321228369368042,0.7308641975308642,0.7289838333500029,mi,Gradient Boosting,Randomized,96.31567001342772,omi,randomized_search_results.csv
0.6987654320987654,0.7021020112708269,0.6987654320987654,0.6920131963645566,mi,KNN,Randomized,0.8387241363525391,omi,randomized_search_results.csv
0.7382716049382716,0.7417569245964788,0.7382716049382716,0.738828778443566,mi,Random Forest,Randomized,20.263725996017456,omi,randomized_search_results.csv
0.6370370370370371,0.6344138758001047,0.6370370370370371,0.635458811799808,mi,Decision Tree,Randomized,0.1048464775085449,omi,randomized_search_results.csv
0.7481481481481481,0.7491040136583234,0.7481481481481481,0.7482239451989013,mi,SVM,Randomized,4.732281684875488,omi,randomized_search_results.csv
0.7876543209876543,0.7876156470428777,0.7876543209876543,0.7857719708975298,mi,Logistic Regression,Grid,0.0877530574798584,omi,grid_search_results.csv
0.7333333333333333,0.7336399703198511,0.7333333333333333,0.7321530813204208,mi,Gradient Boosting,Grid,24.076130867004395,omi,grid_search_results.csv
0.7061728395061728,0.7057998591979174,0.7061728395061728,0.7010131345149911,mi,KNN,Grid,0.4825453758239746,omi,grid_search_results.csv
0.7530864197530864,0.757867290287081,0.7530864197530864,0.754341338122746,mi,Random Forest,Grid,3.1524012088775635,omi,grid_search_results.csv
0.6518518518518519,0.6574194653812226,0.6518518518518519,0.6507592360287038,mi,Decision Tree,Grid,0.0531444549560546,omi,grid_search_results.csv
0.762962962962963,0.765043336115074,0.762962962962963,0.763226082591213,mi,SVM,Grid,0.7869579792022705,omi,grid_search_results.csv
0.782716049382716,0.783310470964792,0.782716049382716,0.7810032088282496,mi,Logistic Regression,Bayes,28.305572509765625,omi,bayes_search_results.csv
0.7308641975308642,0.7321539161023863,0.7308641975308642,0.7285939205969456,mi,Gradient Boosting,Bayes,249.8994946479797,omi,bayes_search_results.csv
0.6987654320987654,0.7021020112708269,0.6987654320987654,0.6920131963645566,mi,KNN,Bayes,52.33392405509949,omi,bayes_search_results.csv
0.7506172839506173,0.7542761333456651,0.7506172839506173,0.7506023743219983,mi,Random Forest,Bayes,45.90792655944824,omi,bayes_search_results.csv
0.6592592592592592,0.6597581369904613,0.6592592592592592,0.6591193454631347,mi,Decision Tree,Bayes,14.813016891479492,omi,bayes_search_results.csv
0.7654320987654321,0.7678793736265002,0.7654320987654321,0.7659935225548303,mi,SVM,Bayes,21.44251823425293,omi,bayes_search_results.csv
0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Logistic Regression,Randomized,1.595515489578247,omir,randomized_search_results.csv
0.745679012345679,0.7505175672493789,0.745679012345679,0.7432845452532263,mir,Gradient Boosting,Randomized,47.86521577835083,omir,randomized_search_results.csv
0.7135802469135802,0.7174895414623046,0.7135802469135802,0.7096020997899048,mir,KNN,Randomized,0.9454019069671632,omir,randomized_search_results.csv
0.7506172839506173,0.7508191277777334,0.7506172839506173,0.7505043727797012,mir,Random Forest,Randomized,18.558339834213257,omir,randomized_search_results.csv
0.7333333333333333,0.7347454305157671,0.7333333333333333,0.7330973123861257,mir,Decision Tree,Randomized,0.1082890033721923,omir,randomized_search_results.csv
0.7283950617283951,0.7280455269894522,0.7283950617283951,0.7263145056325769,mir,SVM,Randomized,4.4528419971466064,omir,randomized_search_results.csv
0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Logistic Regression,Grid,0.0959072113037109,omir,grid_search_results.csv
0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,mir,Gradient Boosting,Grid,12.950472831726074,omir,grid_search_results.csv
0.7160493827160493,0.7190963872247957,0.7160493827160493,0.7124207579085446,mir,KNN,Grid,0.4182837009429931,omir,grid_search_results.csv
0.7481481481481481,0.74717715857723,0.7481481481481481,0.7472743533702885,mir,Random Forest,Grid,3.266181945800781,omir,grid_search_results.csv
0.7086419753086419,0.7227383835570971,0.7086419753086419,0.706142832631129,mir,Decision Tree,Grid,0.048957347869873,omir,grid_search_results.csv
0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,mir,SVM,Grid,0.674799919128418,omir,grid_search_results.csv
0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Logistic Regression,Bayes,13.112157344818115,omir,bayes_search_results.csv
0.7407407407407407,0.7409460192378596,0.7407407407407407,0.7381597819024994,mir,Gradient Boosting,Bayes,228.64165806770325,omir,bayes_search_results.csv
0.7135802469135802,0.7174895414623046,0.7135802469135802,0.7096020997899048,mir,KNN,Bayes,54.663355112075806,omir,bayes_search_results.csv
0.7580246913580246,0.7605963782241434,0.7580246913580246,0.7570678741957662,mir,Random Forest,Bayes,72.77679920196533,omir,bayes_search_results.csv
0.6938271604938272,0.704547694016044,0.6938271604938272,0.6933452556497851,mir,Decision Tree,Bayes,10.972569465637209,omir,bayes_search_results.csv
0.7432098765432099,0.7425195414605482,0.7432098765432099,0.7422306926066975,mir,SVM,Bayes,50.57057428359985,omir,bayes_search_results.csv
0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Logistic Regression,Randomized,4.545609951019287,omu,randomized_search_results.csv
0.7061728395061728,0.7083569578752387,0.7061728395061728,0.7054109900215524,mu,Gradient Boosting,Randomized,41.42112803459168,omu,randomized_search_results.csv
0.6691358024691358,0.6653516593632616,0.6691358024691358,0.6617619178937194,mu,KNN,Randomized,0.4666597843170166,omu,randomized_search_results.csv
0.7234567901234568,0.729641073246654,0.7234567901234568,0.7248123365235415,mu,Random Forest,Randomized,11.278646230697632,omu,randomized_search_results.csv
0.6345679012345679,0.6407803575071318,0.6345679012345679,0.6324329750912163,mu,Decision Tree,Randomized,0.1169550418853759,omu,randomized_search_results.csv
0.691358024691358,0.6970888688237615,0.691358024691358,0.6933142700695281,mu,SVM,Randomized,5.298526287078857,omu,randomized_search_results.csv
0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Logistic Regression,Grid,0.3216011524200439,omu,grid_search_results.csv
0.7061728395061728,0.7071640419218476,0.7061728395061728,0.7061752508840755,mu,Gradient Boosting,Grid,12.164068460464478,omu,grid_search_results.csv
0.6864197530864198,0.6801011462555955,0.6864197530864198,0.6784018987782428,mu,KNN,Grid,0.2296597957611084,omu,grid_search_results.csv
0.7283950617283951,0.7344461806889285,0.7283950617283951,0.7297190960634938,mu,Random Forest,Grid,1.977888345718384,omu,grid_search_results.csv
0.6567901234567901,0.6585534651021107,0.6567901234567901,0.6565499149006401,mu,Decision Tree,Grid,0.0435883998870849,omu,grid_search_results.csv
0.7234567901234568,0.7282516728928716,0.7234567901234568,0.7243622570178327,mu,SVM,Grid,0.954475164413452,omu,grid_search_results.csv
0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Logistic Regression,Bayes,21.10185575485229,omu,bayes_search_results.csv
0.725925925925926,0.7284795449043814,0.725925925925926,0.7245756116586503,mu,Gradient Boosting,Bayes,119.1063675880432,omu,bayes_search_results.csv
0.6765432098765433,0.6713264313762067,0.6765432098765433,0.6670211107976896,mu,KNN,Bayes,11.46280312538147,omu,bayes_search_results.csv
0.7234567901234568,0.7278495796829977,0.7234567901234568,0.7245396778759436,mu,Random Forest,Bayes,29.63861918449402,omu,bayes_search_results.csv
0.6345679012345679,0.6438981501722972,0.6345679012345679,0.6345110159992821,mu,Decision Tree,Bayes,16.111478567123413,omu,bayes_search_results.csv
0.7209876543209877,0.7251020920163649,0.7209876543209877,0.7217523486647135,mu,SVM,Bayes,19.252400875091556,omu,bayes_search_results.csv
0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,vt,Logistic Regression,Randomized,1.446943998336792,ovt,randomized_search_results.csv
0.7802469135802469,0.7821337910251743,0.7802469135802469,0.7770064185322368,vt,Gradient Boosting,Randomized,46.41879415512085,ovt,randomized_search_results.csv
0.6962962962962963,0.6921036029771157,0.6962962962962963,0.6809102712979265,vt,KNN,Randomized,0.3777728080749511,ovt,randomized_search_results.csv
0.762962962962963,0.7632261668372778,0.762962962962963,0.7608255459744596,vt,Random Forest,Randomized,10.860789060592651,ovt,randomized_search_results.csv
0.7358024691358025,0.7328601039567751,0.7358024691358025,0.7340430045714599,vt,Decision Tree,Randomized,0.1032338142395019,ovt,randomized_search_results.csv
0.7753086419753087,0.7752442579759726,0.7753086419753087,0.7737686284904574,vt,SVM,Randomized,4.259616851806641,ovt,randomized_search_results.csv
0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,vt,Logistic Regression,Grid,0.087454080581665,ovt,grid_search_results.csv
0.7506172839506173,0.7501627256955475,0.7506172839506173,0.748111984993645,vt,Gradient Boosting,Grid,14.993664264678957,ovt,grid_search_results.csv
0.7135802469135802,0.7173162881291112,0.7135802469135802,0.7059136218228781,vt,KNN,Grid,0.1934771537780761,ovt,grid_search_results.csv
0.7654320987654321,0.7652374259107249,0.7654320987654321,0.7628556558997436,vt,Random Forest,Grid,1.889214277267456,ovt,grid_search_results.csv
0.7111111111111111,0.711896005765571,0.7111111111111111,0.7085698856940688,vt,Decision Tree,Grid,0.0426325798034668,ovt,grid_search_results.csv
0.7975308641975308,0.798466146613352,0.7975308641975308,0.796489268193943,vt,SVM,Grid,0.7124710083007812,ovt,grid_search_results.csv
0.8074074074074075,0.8076007022804617,0.8074074074074075,0.8064619684866211,vt,Logistic Regression,Bayes,12.302035570144652,ovt,bayes_search_results.csv
0.7950617283950617,0.7948569424964937,0.7950617283950617,0.7915912430778026,vt,Gradient Boosting,Bayes,147.8156979084015,ovt,bayes_search_results.csv
0.7086419753086419,0.7137049257441952,0.7086419753086419,0.697806623074081,vt,KNN,Bayes,13.226099014282228,ovt,bayes_search_results.csv
0.7654320987654321,0.7657786653974025,0.7654320987654321,0.7636558402816095,vt,Random Forest,Bayes,31.872241258621216,ovt,bayes_search_results.csv
0.7432098765432099,0.7434856285665113,0.7432098765432099,0.7423331479610801,vt,Decision Tree,Bayes,15.739156246185305,ovt,bayes_search_results.csv
0.7703703703703704,0.7705504512368254,0.7703703703703704,0.7690909362130356,vt,SVM,Bayes,17.80452585220337,ovt,bayes_search_results.csv
