Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,SourceFile
0.762962962962963,0.7635781053777012,0.762962962962963,0.7618177479073187,pc,Gradient Boosting,Grid,13.340276718139648,grid_search_results.csv
0.7111111111111111,0.7224072470739137,0.7111111111111111,0.7054622286441792,pc,KNN,Grid,0.0996031761169433,grid_search_results.csv
0.7753086419753087,0.777914996025691,0.7753086419753087,0.7748342615075514,pc,Random Forest,Grid,1.869879007339477,grid_search_results.csv
0.6814814814814815,0.6811695955233293,0.6814814814814815,0.6780920576191006,pc,Decision Tree,Grid,0.0442771911621093,grid_search_results.csv
0.817283950617284,0.8176841209025116,0.817283950617284,0.8169950547057787,pc,SVM,Grid,0.7837188243865967,grid_search_results.csv
0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Logistic Regression,Bayes,17.799607038497925,bayes_search_results.csv
0.7876543209876543,0.7901745853597706,0.7876543209876543,0.7866231447446282,pc,Gradient Boosting,Bayes,105.55084562301636,bayes_search_results.csv
0.7111111111111111,0.7224072470739137,0.7111111111111111,0.7054622286441792,pc,KNN,Bayes,12.010436534881592,bayes_search_results.csv
0.7851851851851852,0.7899951026547846,0.7851851851851852,0.7841005029594192,pc,Random Forest,Bayes,30.478854417800903,bayes_search_results.csv
0.6765432098765433,0.6790224058197915,0.6765432098765433,0.6771464042458308,pc,Decision Tree,Bayes,11.719662427902222,bayes_search_results.csv
0.8049382716049382,0.8058055019452869,0.8049382716049382,0.8051622065355241,pc,SVM,Bayes,18.08302974700928,bayes_search_results.csv
0.8123456790123457,0.8139160148728836,0.8123456790123457,0.8126308413592551,mi,Logistic Regression,Randomized,2.283816337585449,randomized_search_results.csv
0.7851851851851852,0.7870476132698355,0.7851851851851852,0.7846167248446817,mi,Gradient Boosting,Randomized,45.20160746574402,randomized_search_results.csv
0.7283950617283951,0.7417090064414169,0.7283950617283951,0.7216068324619971,mi,KNN,Randomized,0.1948988437652588,randomized_search_results.csv
0.7802469135802469,0.7840188452820827,0.7802469135802469,0.779215841502458,mi,Random Forest,Randomized,11.58937668800354,randomized_search_results.csv
0.6839506172839506,0.6831668750691152,0.6839506172839506,0.6827249737986878,mi,Decision Tree,Randomized,0.1164054870605468,randomized_search_results.csv
